folder,file,out_file,img_w_px,img_h_px,px_per_m_x,px_per_m_y,px_per_m_used,crop_side_px_requested,crop_side_px_used,approx_ground_side_m,height_m,focal_mm_default,focal_mm_used,sensor_w_mm,sensor_h_mm
Nikon COOLPIX AW120,DSCN8862.JPG,DSCN8862_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8863.JPG,DSCN8863_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8864.JPG,DSCN8864_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8865.JPG,DSCN8865_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8866.JPG,DSCN8866_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8867.JPG,DSCN8867_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8868.JPG,DSCN8868_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8869.JPG,DSCN8869_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8870.JPG,DSCN8870_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8871.JPG,DSCN8871_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8872.JPG,DSCN8872_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8873.JPG,DSCN8873_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8874.JPG,DSCN8874_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8875.JPG,DSCN8875_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8876.JPG,DSCN8876_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8877.JPG,DSCN8877_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8878.JPG,DSCN8878_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8879.JPG,DSCN8879_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8880.JPG,DSCN8880_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8881.JPG,DSCN8881_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8882.JPG,DSCN8882_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8883.JPG,DSCN8883_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8884.JPG,DSCN8884_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8885.JPG,DSCN8885_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8886.JPG,DSCN8886_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8887.JPG,DSCN8887_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8888.JPG,DSCN8888_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8889.JPG,DSCN8889_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8890.JPG,DSCN8890_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8891.JPG,DSCN8891_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8892.JPG,DSCN8892_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8893.JPG,DSCN8893_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8894.JPG,DSCN8894_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8895.JPG,DSCN8895_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8896.JPG,DSCN8896_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8897.JPG,DSCN8897_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8898.JPG,DSCN8898_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8899.JPG,DSCN8899_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8900.JPG,DSCN8900_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8901.JPG,DSCN8901_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8902.JPG,DSCN8902_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8903.JPG,DSCN8903_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8904.JPG,DSCN8904_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8905.JPG,DSCN8905_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8906.JPG,DSCN8906_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8907.JPG,DSCN8907_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8908.JPG,DSCN8908_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8909.JPG,DSCN8909_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8910.JPG,DSCN8910_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8911.JPG,DSCN8911_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8912.JPG,DSCN8912_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8913.JPG,DSCN8913_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8914.JPG,DSCN8914_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8915.JPG,DSCN8915_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8916.JPG,DSCN8916_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8917.JPG,DSCN8917_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8918.JPG,DSCN8918_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8919.JPG,DSCN8919_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8920.JPG,DSCN8920_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8921.JPG,DSCN8921_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8922.JPG,DSCN8922_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8923.JPG,DSCN8923_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8924.JPG,DSCN8924_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8925.JPG,DSCN8925_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8926.JPG,DSCN8926_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8927.JPG,DSCN8927_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8928.JPG,DSCN8928_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8929.JPG,DSCN8929_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8931.JPG,DSCN8931_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8932.JPG,DSCN8932_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8933.JPG,DSCN8933_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8934.JPG,DSCN8934_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8935.JPG,DSCN8935_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8936.JPG,DSCN8936_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8937.JPG,DSCN8937_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8938.JPG,DSCN8938_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8939.JPG,DSCN8939_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8940.JPG,DSCN8940_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8941.JPG,DSCN8941_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8942.JPG,DSCN8942_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8943.JPG,DSCN8943_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8944.JPG,DSCN8944_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8945.JPG,DSCN8945_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
Nikon COOLPIX AW120,DSCN8946.JPG,DSCN8946_c.jpg,4608,3456,1605.705,1633.055,1619.38,1619.38,1619,0.9998,2.0,4.3,4.3,6.17,4.55
