lat,lon,ele_m,time,x_east_m,y_north_m,r_radial_m
43.325092,-116.414421,891.3,2025-09-19 18:05:59+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.3,2025-09-19 18:06:00+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:01+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:02+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:03+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:04+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:05+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:06+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:07+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:08+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:09+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:10+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:11+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:12+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:13+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:14+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:15+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:16+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:17+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:18+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:19+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:20+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:21+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:22+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:23+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:24+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:25+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:26+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:27+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:28+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.2,2025-09-19 18:06:29+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:30+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:31+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:32+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:33+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:34+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:35+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:36+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:37+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:38+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:39+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:40+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:41+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:42+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:43+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:44+00:00,0.0,0.0,0.0
43.325092,-116.414421,891.1,2025-09-19 18:06:45+00:00,0.0,0.0,0.0
